desc,model,weighted,train_f1_micro,train_f1_macro,train_f1_weighted,train_accuracy,test_f1_micro,test_f1_macro,test_f1_weighted,test_accuracy,time,mode,hidden_size,input_size,layers,train_loss,test_loss
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8488372093023255,0.745022315350178,0.8243399265649267,0.8488372093023255,0.7731481481481481,0.5705551359450128,0.7174421408575535,0.7731481481481481,1604414656.119431,hidden,128.0,32.0,1.0,0.8790007829666138,0.9315219521522522
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.936046511627907,0.9110620703520195,0.9348985191526097,0.936046511627907,0.7546296296296298,0.6630426864801865,0.7566992710221877,0.7546296296296297,1604414668.6293328,hidden,256.0,32.0,1.0,0.43944308161735535,0.7349956631660461
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.9127906976744186,0.8700848953576172,0.9072048165610266,0.9127906976744186,0.7453703703703705,0.5923947965840631,0.7261858386184143,0.7453703703703703,1604414681.5633934,hidden,256.0,32.0,1.0,0.5586212873458862,0.7832054495811462
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.9313953488372094,0.8945172556427743,0.9284206189886253,0.9313953488372093,0.7546296296296298,0.5965205845843681,0.7274496668314938,0.7546296296296297,1604414700.9556165,hidden,256.0,32.0,1.0,0.648026704788208,0.7942414283752441
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8511627906976744,0.7518199325694045,0.8299677995086122,0.8511627906976744,0.7916666666666666,0.6338097827591183,0.7546695775196018,0.7916666666666666,1604414726.7471745,hidden,128.0,32.0,1.0,0.9243127703666687,0.9781976342201233
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8127906976744185,0.663160929847128,0.776903330547115,0.8127906976744186,0.763888888888889,0.5336666586330417,0.702998671646494,0.7638888888888888,1604414733.076308,hidden,128.0,32.0,1.0,1.0677090883255005,1.0907639265060425
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.727906976744186,0.4539669939050745,0.6564391874608593,0.727906976744186,0.7361111111111113,0.4327180034958244,0.6451238284312667,0.7361111111111112,1604414742.4457707,hidden,128.0,32.0,1.0,1.1475727558135986,1.1594315767288208
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8569767441860465,0.7807071552720832,0.8510480571244603,0.8569767441860465,0.7037037037037037,0.5613895331160245,0.6934897836313408,0.7037037037037037,1604414754.9267006,hidden,256.0,32.0,1.0,0.725502610206604,0.8305980563163757
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8441860465116279,0.7454103945447861,0.8235466702672911,0.8441860465116279,0.7592592592592593,0.5314741605144081,0.6986778157056796,0.7592592592592593,1604414767.8169217,hidden,256.0,32.0,1.0,0.8944054245948792,0.9349178671836853
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.7779069767441861,0.5943943173950031,0.7178249754120497,0.7779069767441861,0.75,0.5162788375112353,0.6768538862441789,0.75,1604414787.2699964,hidden,256.0,32.0,1.0,0.9854390025138855,1.0092456340789795
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8923976608187134,0.828977504128605,0.8828587039349721,0.8923976608187134,0.7850467289719625,0.6639057750759879,0.7588737702279161,0.7850467289719626,1604414813.4170911,cells,128.0,32.0,1.0,0.6390965580940247,0.7783721685409546
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.904093567251462,0.838540159206132,0.8934314018218733,0.904093567251462,0.7990654205607477,0.670460729746444,0.7746441720273496,0.7990654205607477,1604414819.160161,cells,128.0,32.0,1.0,0.7625460624694824,0.8599060773849487
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8853801169590644,0.8035928138193081,0.8680747237116139,0.8853801169590644,0.8037383177570093,0.6721300587735579,0.7695910117204202,0.8037383177570093,1604414827.6232555,cells,128.0,32.0,1.0,0.8739569783210754,0.9262769222259521
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9508771929824561,0.9289299418293333,0.9504461366873206,0.9508771929824561,0.766355140186916,0.6684467102128913,0.7590716862606489,0.7663551401869159,1604414838.9729242,cells,256.0,32.0,1.0,0.39366161823272705,0.6537984609603882
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9403508771929825,0.9115782662232967,0.9382177902600664,0.9403508771929825,0.8177570093457944,0.7059378872655041,0.7977092742798485,0.8177570093457944,1604414848.6142178,cells,256.0,32.0,1.0,0.5170828700065613,0.68278568983078
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9461988304093567,0.9232533023364752,0.9447833533365013,0.9461988304093567,0.8037383177570093,0.7032870353340084,0.7849660079266034,0.8037383177570093,1604414862.9952955,cells,256.0,32.0,1.0,0.5930340886116028,0.7391688227653503
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8350877192982457,0.718744439699655,0.8092826918606671,0.8350877192982457,0.7757009345794392,0.6327817806297003,0.7384745786936753,0.7757009345794392,1604414882.1710753,cells,128.0,32.0,1.0,0.9233165979385376,0.9781749844551086
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8011695906432749,0.6110319873849737,0.742096104341487,0.8011695906432749,0.7850467289719625,0.6043326376027673,0.7322588934596289,0.7850467289719626,1604414887.8557756,cells,128.0,32.0,1.0,1.0701477527618408,1.0889244079589844
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.7391812865497077,0.5464677541680572,0.7035231255089168,0.7391812865497076,0.7383177570093457,0.5355083801575369,0.6910117903661473,0.7383177570093458,1604414896.3076382,cells,128.0,32.0,1.0,1.154675006866455,1.1664750576019287
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.9087719298245615,0.8583872422568666,0.9037744226071769,0.9087719298245615,0.7803738317757009,0.6625070384599477,0.7635830000537833,0.780373831775701,1604414907.5054252,cells,256.0,32.0,1.0,0.674899160861969,0.7965871691703796
